"Ticker.symbol","date","GICS.Sector","Address.of.Headquarters","close","X","Accounts.Payable","Accounts.Receivable","Add.l.income.expense.items","After.Tax.ROE","Capital.Expenditures","Capital.Surplus","Cash.Ratio","Cash.and.Cash.Equivalents","Changes.in.Inventories","Common.Stocks","Cost.of.Revenue","Current.Ratio","Deferred.Asset.Charges","Deferred.Liability.Charges","Depreciation","Earnings.Before.Interest.and.Tax","Earnings.Before.Tax","Effect.of.Exchange.Rate","Equity.Earnings.Loss.Unconsolidated.Subsidiary","Fixed.Assets","Goodwill","Gross.Margin","Gross.Profit","Income.Tax","Intangible.Assets","Interest.Expense","Inventory","Investments","Liabilities","Long.Term.Debt","Long.Term.Investments","Minority.Interest","Misc..Stocks","Net.Borrowings","Net.Cash.Flow","Net.Cash.Flow.Operating","Net.Cash.Flows.Financing","Net.Cash.Flows.Investing","Net.Income","Net.Income.Adjustments","Net.Income.Applicable.to.Common.Shareholders","Net.Income.Cont..Operations","Net.Receivables","Non.Recurring.Items","Operating.Income","Operating.Margin","Other.Assets","Other.Current.Assets","Other.Current.Liabilities","Other.Equity","Other.Financing.Activities","Other.Investing.Activities","Other.Liabilities","Other.Operating.Activities","Other.Operating.Items","Pre.Tax.Margin","Pre.Tax.ROE","Profit.Margin","Quick.Ratio","Research.and.Development","Retained.Earnings","Sale.and.Purchase.of.Stock","Sales..General.and.Admin.","Short.Term.Debt...Current.Portion.of.Long.Term.Debt","Short.Term.Investments","Total.Assets","Total.Current.Assets","Total.Current.Liabilities","Total.Equity","Total.Liabilities","Total.Liabilities...Equity","Total.Revenue","Treasury.Stock","For.Year","Earnings.Per.Share","Estimated.Shares.Outstanding"
"STI","2015-12-31","Financials","Atlanta, Georgia",42.84,1453,0,0,0,8,-1.86e+08,9.094e+09,NA,3.3424e+10,0,5.5e+08,2.19e+08,NA,0,0,7.86e+08,2.989e+09,2.707e+09,0,0,1.502e+09,6.337e+09,0,0,7.64e+08,1.325e+09,2.82e+08,0,-5.381e+09,-1.9e+08,1.263e+09,1.70472e+11,0,0,-8.892e+09,-2.63e+09,3.496e+09,-8.1e+08,-5.316e+09,1.933e+09,-3.28e+08,1.863e+09,1.933e+09,0,0,0,0,5.582e+09,0,1.4983e+11,-4.6e+08,9.3e+09,2.51e+08,3.198e+09,-4.07e+08,2.05e+08,32,12,23,NA,0,1.4686e+10,-6.79e+08,5.12e+09,4.627e+09,0,1.90817e+11,0,0,2.3437e+10,1.6738e+11,1.90817e+11,8.533e+09,-1.658e+09,2015,3.62,533977900.552
"STT","2013-12-31","Financials","Boston, Massachusetts",73.389999,1454,1.9194e+10,-1.53e+08,0,10,-3.88e+08,9.776e+09,NA,1.91464e+11,0,5.04e+08,0,NA,0,0,6.75e+08,3.077e+09,2.666e+09,0,0,1.86e+09,6.036e+09,0,0,6.16e+08,2.36e+09,0,0,-1.3836e+10,1.33e+08,0,1.31215e+11,0,0,1.196e+09,6.3e+08,-2.024e+09,1.6739e+10,-1.4085e+10,2.05e+09,-1.97e+08,2.016e+09,2.05e+09,2.123e+09,1.04e+08,0,0,2.599e+10,0,1.82268e+11,-9.5e+07,1.8137e+10,1.39e+08,0,-4.532e+09,2.2e+08,26,13,20,NA,0,1.3395e+10,-2.108e+09,6.874e+09,1.1752e+10,0,2.43291e+11,0,0,2.0378e+10,2.22913e+11,2.43291e+11,1.0275e+10,-3.693e+09,2013,4.71,435244161.359
"STT","2014-12-31","Financials","Boston, Massachusetts",78.5,1455,2.0382e+10,-1.19e+08,0,9,-4.27e+08,9.791e+09,NA,2.11328e+11,0,5.04e+08,0,NA,0,0,6.99e+08,2.829e+09,2.437e+09,0,0,1.937e+09,5.826e+09,0,0,4.15e+08,2.025e+09,0,0,-2.8214e+10,-6.35e+08,0,1.31721e+11,0,0,1.781e+09,-1.365e+09,-5.61e+08,2.7688e+10,-2.8492e+10,2.022e+09,-2.067e+09,1.958e+09,2.022e+09,2.242e+09,1.33e+08,0,0,3.26e+10,0,2.0904e+11,-5.07e+08,2.6844e+10,1.49e+08,0,-4.61e+08,2.32e+08,23,11,19,NA,0,1.4737e+10,-3.98e+08,7.472e+09,1.3327e+10,0,2.74119e+11,0,0,2.1328e+10,2.52791e+11,2.74119e+11,1.0666e+10,-5.158e+09,2014,4.65,434838709.677
"STT","2015-12-31","Financials","Boston, Massachusetts",66.360001,1456,1.4643e+10,-1.04e+08,0,9,-7.03e+08,9.746e+09,NA,1.8082e+11,0,5.04e+08,0,NA,0,0,8.01e+08,2.698e+09,2.298e+09,0,0,1.894e+09,5.671e+09,0,0,3.18e+08,1.768e+09,0,0,2.5625e+10,-4.8e+07,0,1.19624e+11,3.2e+07,0,-5.246e+09,-6.48e+08,-1.403e+09,-2.424e+10,2.4995e+10,1.98e+09,8.2e+08,1.848e+09,1.98e+09,2.346e+09,2.5e+07,0,0,3.3903e+10,0,1.91627e+11,-1.442e+09,-1.7343e+10,7.3e+07,0,-4.927e+09,2.09e+08,21,11,18,NA,0,1.6049e+10,-9.96e+08,7.828e+09,6.253e+09,0,2.45155e+11,0,0,2.1103e+10,2.24052e+11,2.45155e+11,1.076e+10,-6.457e+09,2015,4.53,437086092.715
"STX","2013-06-28","Information Technology","Dublin, Ireland",44.830002,1458,2.608e+09,9.33e+08,-4.6e+07,53,-7.86e+08,5.286e+09,88,1.809e+09,1.02e+08,0,1.0411e+10,207,4.56e+08,0,8.73e+08,2.045e+09,1.831e+09,1e+06,0,2.269e+09,4.76e+08,27,3.94e+09,-7e+06,4.05e+08,2.14e+08,8.54e+08,-1.7e+07,-7.22e+08,2.774e+09,0,1.1e+07,0,-2.38e+08,1e+06,3.047e+09,-2.222e+09,-8.25e+08,1.838e+09,6.2e+07,1.838e+09,1.838e+09,1.785e+09,2e+06,2.091e+09,15,2.25e+08,4.84e+08,0,-1.3e+07,-7.1e+07,-2.2e+07,3.52e+08,-3.9e+07,7.9e+07,13,52,13,175,1.133e+09,-1.778e+09,-1.395e+09,6.35e+08,3e+06,4.8e+08,9.243e+09,5.412e+09,2.611e+09,3.495e+09,5.748e+09,9.243e+09,1.4351e+10,0,2013,4.97,369818913.481
"STX","2014-06-27","Information Technology","Dublin, Ireland",56.919998,1459,2.398e+09,2.21e+08,-2.5e+07,55,-5.59e+08,5.511e+09,111,2.638e+09,-2e+07,0,9.878e+09,241,4.99e+08,0,8.79e+08,1.751e+09,1.556e+09,1e+06,0,2.136e+09,5.37e+08,28,3.846e+09,-1.4e+07,3.59e+08,1.95e+08,9.85e+08,5.53e+08,-3.25e+08,3.92e+09,0,0,0,1.056e+09,9.26e+08,2.558e+09,-1.311e+09,-3.22e+08,1.57e+09,1.1e+08,1.57e+09,1.57e+09,1.855e+09,2.4e+07,1.776e+09,13,1.84e+08,2.79e+08,0,-2e+06,-5e+06,-3.16e+08,3.42e+08,1.23e+08,9.8e+07,11,55,11,200,1.226e+09,-2.677e+09,-1.805e+09,7.22e+08,0,2e+07,9.492e+09,5.777e+09,2.398e+09,2.832e+09,6.66e+09,9.492e+09,1.3724e+10,0,2014,4.66,336909871.245
"STX","2016-07-01","Information Technology","Dublin, Ireland",24.030001,1461,2.249e+09,4.64e+08,2.2e+07,16,-5.87e+08,5.929e+09,50,1.125e+09,1.45e+08,0,8.545e+09,157,6.16e+08,0,8.15e+08,4.67e+08,2.74e+08,-3e+06,0,2.16e+09,1.237e+09,23,2.615e+09,2.6e+07,4.48e+08,1.93e+08,8.68e+08,1e+06,-1.44e+08,4.13e+09,0,0,0,-2.2e+07,-1.354e+09,1.68e+09,-1.82e+09,-1.211e+09,2.48e+08,1.53e+08,2.48e+08,2.48e+08,1.318e+09,1.75e+08,4.45e+08,4,2.58e+08,2.16e+08,0,-2.5e+07,-6e+07,-6.25e+08,2.8e+08,-1e+06,1.23e+08,2,17,2,118,1.237e+09,-4.311e+09,-1.011e+09,6.35e+08,0,6e+06,8.252e+09,3.533e+09,2.249e+09,1.593e+09,6.659e+09,8.252e+09,1.116e+10,0,2016,0.83,298795180.723
"STZ","2013-02-28","Consumer Staples","Victor, New York",44.240002,1462,650300000,-38900000,-12500000,14,-62100000,1907100000,49,331500000,-9e+07,2700000,1687800000,365,0,599600000,120200000,743500000,516400000,-5100000,233100000,1.229e+09,2722300000,40,1108300000,128600000,871400000,227100000,1480900000,0,70800000,3277800000,0,0,0,512800000,245700000,556300000,-98700000,-206800000,387800000,100100000,387800000,620900000,471900000,0,522900000,19,344200000,186900000,0,132100000,-5e+05,-144700000,222500000,6300000,0,18,18,14,146,0,2495100000,-220300000,585400000,27600000,0,7638100000,2471200000,677900000,2860300000,4777800000,7638100000,2796100000,-1676700000,2013,NA,NA
"STZ","2014-02-28","Consumer Staples","Victor, New York",81.029999,1463,1378500000,36500000,0,39,-223500000,2116600000,3,63900000,-41100000,2800000,2.876e+09,136,0,762600000,166900000,2525500000,2202300000,-7e+06,1729800000,2014300000,6146800000,41,1991700000,259200000,3231100000,323200000,1743800000,0,3300000,6373300000,0,0,0,3685900000,-267600000,826200000,3.777e+09,-4863800000,1943100000,-1249600000,1943100000,3672900000,626200000,300900000,2437700000,50,162700000,313300000,0,8.6e+07,-1.8e+07,-4640300000,159200000,-32900000,0,45,44,40,50,0,4438200000,125900000,895100000,647200000,0,14302100000,2747200000,2025700000,4981300000,9320800000,14302100000,4867700000,-1662300000,2014,NA,NA
"STZ","2016-02-29","Consumer Staples","Victor, New York",141.429993,1465,1007300000,-129800000,-1100000,16,-891300000,2.589e+09,4,83100000,10100000,2900000,3606100000,131,0,1022200000,2.33e+08,1815100000,1501200000,-9300000,51100000,3333400000,7138600000,45,2942300000,440600000,3403800000,313900000,1851600000,0,-8.7e+07,6816200000,0,132200000,0,761900000,-2.7e+07,1413700000,7.76e+08,-2207400000,1054900000,306100000,1054900000,1.106e+09,732500000,0,1765100000,27,111600000,310400000,0,-452500000,-38600000,-1316100000,162500000,20700000,0,23,23,16,50,0,6090500000,104200000,1177200000,1.265e+09,0,1.6965e+10,2977600000,2272300000,6559600000,10405400000,1.6965e+10,6548400000,-1670300000,2016,NA,NA
